title,company,country,description,url,skills
Universitätsassistent*in Praedoc - PhD position in Probabilistic and Interactive Machine Learning,Universität Wien,Austria,"Ihr persönlicher Einflussbereich:Die Arbeitsgruppe „Probabilistic and Interactive Machine Learning“ innerhalb der Forschungsgruppe „Data Mining and Machine Learning“ an der Fakultät für Informatik unter der Leitung von Prof. Sebastian Tschiatschek entwickelt grundlegende Methoden des maschinellen Lernens und der künstlichen Intelligenz. Wir konzentrieren uns insbesondere auf die Bereiche des Reinforcement Learnings, des interaktiven Lernens und probabilistischer Modelle.Obwohl mittels Reinforce…",https://www.adzuna.at/land/ad/5744230056?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=D0D28BE20E197CCF6562D4C6EFAE09F622E3193D,ner
Machine Learning Engineer (gn*),TÜV AUSTRIA,Austria,"4.000 People. 35 Countries. LivingTheFuture. TÜV AUSTRIA - Das unabhängige, österreichische Unternehmen für Testing, Inspection und Certification, Training & Consulting. Wir liefern unseren Kunden den entscheidenden Mehrwert für nachhaltige und flexible Lösungen durch technische Sicherheit - in Österreich und in mehr als 35 Ländern der Welt. Wenn auch Sie die Welt ein Stück sicherer machen wollen, bewerben Sie sich als Machine Learning Engineer (gn*) (Jn. 266434) Bringen Sie KI-Innovationen von…",https://www.adzuna.at/land/ad/5723067561?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=ED9C8097ACEAD64AB4E64FF288945CAAB6EA50B9,
"Machine Learning Engineer, CV",Snap Inc.,Austria,"Snap Inc (https://www.snap.com/en-US/) is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company's three core products are Snapchat (https://www.snapchat.com/) , a visual messaging app that enhances your relationships with friends, family, and the world; Lens Studio (htt…",https://www.adzuna.at/land/ad/5704306562?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=48BC6EBA8CFF79CDC433948447F8BF46C34B70B9,
Senior AI / Machine Learning Engineer (w/m/d),KERN engineering careers GmbH,Austria,"Senior AI / Machine Learning Engineer (w/m/d) Bring KI direkt in die Produktion - gestalte smarte Fabriken der Zukunft mit deinen Algorithmen. 28.05.2026 Job-Nr.: 216421 Jetzt Bewerben Werde Teil eines etablierten, international tätigen Softwareunternehmens. Deine Lösungen machen Produktionsprozesse effizienter, stabiler und smarter. Wir suchen Dich als Senior AI / ML Engineer, der Anwendungsfälle in produktive, skalierbare KI-Lösungen für namhafte Kunden überführt und deren erfolgreiche Einfüh…",https://www.adzuna.at/land/ad/5737753450?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=5475373197828EBFCAD4696D54C509C4C8B0B664,
"Machine Learning Engineer, CV",Snap,Austria,"Snap Inc is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company’s three core products are Snapchat , a visual messaging app that enhances your relationships with friends, family, and the world; Lens Studio , an augmented reality platform that powers AR across Snapchat…",https://www.adzuna.at/details/5704026832?utm_medium=api&utm_source=fec1d0ee,
Data / Machine Learning Engineer,Doppelmayr Seilbahnen GmbH,Austria,"EINLEITUNG Mit innovativen Seilbahnen sorgen die Doppelmayr-Teams für Weltrekorde, auffällige Highlights und Begeisterung bei Kunden und Fahrgästen. Wir entwickeln Mobilitätslösungen für die Zukunft und leistungsfähige Materialtransportsysteme für den Einsatz auf der ganzen Welt. Möglich machen das unsere Mitarbeiter:innen, die unsere einzigartigen Projekte umsetzen und mit innovativen Ideen immer wieder für Begeisterung sorgen. Zur Verstärkung unseres Teams im Bereich Digitale Produkte & Servi…",https://www.adzuna.at/details/5728552904?utm_medium=api&utm_source=fec1d0ee,"gan, git"
Machine Learning Engineer – Acoustic Biosignal Analysis,My Website,Austria,"Machine Learning Engineer – Acoustic Biosignal Analysis Graz , Austria USound is disrupting the audio industry, setting new standards in audio experience, and maximizing the degrees of freedom in manufacturing wearables and hearables. We are leaders in acoustic solutions based on MEMS speakers. Since 2018, we have been enabling our customers to bring new revolutionary audio products to the market. USound achieves this through radical miniaturization, power reduction, and increased production ef…",https://www.adzuna.at/details/5381049369?utm_medium=api&utm_source=fec1d0ee,
Senior Machine Learning Engineer – Edge AI for Health Wearables,My Website,Austria,"Senior Machine Learning Engineer – Edge AI for Health Wearables Graz , Austria USound is disrupting the audio industry, setting new standards in audio experience, and maximizing the degrees of freedom for wearables and hearables. We are leaders in acoustic solutions based on MEMS speakers by enabling our customers to bring new revolutionary audio products to the market. USound achieves this through radical miniaturization, power reduction, and increased production efficiency. USound is advancin…",https://www.adzuna.at/details/5381049520?utm_medium=api&utm_source=fec1d0ee,
Data Scientist (Marketing) (m/w/d),XXXLdigital - Part of XXXL Group,Austria,"Die XXXLutz Unternehmensgruppe ist in den 80 Jahren ihres Bestehens stetig gewachsen, betreibt über 400 Einrichtungshäuser in 14 europäischen Ländern und beschäftigt mehr als 27.300 Mitarbeiter. Mit einem Jahresumsatz von 6,4 Milliarden Euro ist die XXXLutz Gruppe einer der drei größten Möbelhändler der Welt. Zudem werden bereits 24 Onlineshops in den Vertriebsschienen XXXLutz, Möbelix und Mömax betrieben. Willkommen bei XXXLdigital, wo digitale Innovation echte Wirkung zeigt. Als digitale Orga…",https://www.adzuna.at/land/ad/5755102418?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=5FF13AA6152B0400D3666FA94D35895313C8EEAB,"ner, git"
Senior Softwareentwickler C# / .NET (m/w/d),Fill Gesellschaft m.b.H.,Austria,"Senior Softwareentwickler C# / .NET (m/w/d) Deine Aufgaben: * Entwicklung der digitalen Produkte bei Fill in .NET (C#, GIT, Visual Studio, Microsoft SQL Server) * Eigenverantwortlicher Entwurf bzw. Implementierung neuer Features und eigenständige Abwicklung von Projekten * Forschungsarbeit auf den Gebieten Big Data und Machine Learning (z.B. Aufzeichnen und Auswerten von Produktionsdaten) * Intensive Zusammenarbeit mit den verschiedenen Abteilungen innerhalb des Unternehmens und mit internation…",https://www.adzuna.at/land/ad/5737755743?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=8CE34E96C8593C35E4D997BD35F59E786F5EBE76,"sql, ner, git"
Fullstack Developer NOWA: Innovation Hub WKW,WKO - Wirtschaftskammer Wien,Austria,"Wir vertreten die Interessen der österreichischen Unternehmen Die Wirtschaftskammern Österreichs vertreten mehr als 114.000 Mitgliedsbetriebe. Als starke Stimme der Unternehmen setzen wir uns für eine zukunftsorientierte und wirtschaftsfreundliche Politik ein, z.B. für Steuerentlastung, Bürokratie-Abbau, Förderungen. The Innovation Hub of the Vienna Economic Chamber (IHW) is the innovation center that supports Viennese companies through digital services and forward-looking technologies. As a Fu…",https://www.adzuna.at/land/ad/5754551551?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=C999ECDE80FCDCED361B6720B76299E8DA67F41F,git
"Development Engineer, Sound Coding (m/w/d)",MED-EL Elektromedizinische Geräte GmbH,Austria,"RDSP_12604 Development Engineer, Sound Coding (m/w/d) Research & Development Innsbruck, Österreich Fachkräfte Vollzeit 38,5 h Unbefristet Bewerben Ihre Aufgaben * Entwicklung und Test von Audiosignalverarbeitungssystemen * Implementierung, Verifikation und Dokumentation von energieeffizienten Echtzeit-Signalverarbeitungsalgorithmen auf DSP * Hardwareplattform- und Digitaldesign für Signalverarbeitungssysteme * Anwendung von Machine-Learning-Methoden auf Audiosignalverarbeitungsalgorithmen * Ers…",https://www.adzuna.at/land/ad/5723052611?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=6E775360A20AAF1E3277CDEAFEED588862E5ABC4,"ner, git"
Data Scientist (Marketing) (m/w/d),XXXLdigital – Part of XXXL Group,Austria,"Wir suchen dich Data Scientist (Marketing) (m/w/d) * Vollzeit Wien (AT) Würzburg, München (DE) Die XXXLutz Unternehmensgruppe ist in den 80 Jahren ihres Bestehens stetig gewachsen, betreibt über 400 Einrichtungshäuser in 14 europäischen Ländern und beschäftigt mehr als 27.300 Mitarbeiter. Mit einem Jahresumsatz von 6,4 Milliarden Euro ist die XXXLutz Gruppe einer der drei größten Möbelhändler der Welt. Zudem werden bereits 24 Onlineshops in den Vertriebsschienen XXXLutz, Möbelix und Mömax betri…",https://www.adzuna.at/land/ad/5723069518?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=468976A3B38D706FA1518CA86840520563B782E9,ner
Senior Data Scientist Digital Sales (m/w/d),Wüstenrot Gruppe,Austria,"Interessantes Aufgabengebiet im Digital Sales: Senior Data Scientist Digital Sales (m/w/d) Dienstort: Salzburg oder Wien Als Bank, Bausparkasse und Versicherung unter einem Dach sind wir der einzige Finanzpartner in Österreich, der seine Kundinnen und Kunden mit individuell passenden Gesamtlösungen aus einer Hand ein Leben lang begleitet. In diesem dynamischen und abwechslungsreichen Umfeld bieten wir die Möglichkeit, aktiv mitzugestalten und zu optimieren. Entwicklung von Python-Anwendungen zu…",https://www.adzuna.at/land/ad/5754019279?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=7DA95857C1CE7623464DA0FD9BBBB849B39292D9,"python, ner, spark, git"
Senior Data Scientist,Zühlke,Austria,"Founded in Switzerland in 1968, Zühlke is owned by its partners and located across Europe and Asia. We are a global transformation partner, with engineering and innovation in our DNA. We're trusted to help clients envision and build their businesses for the future – to run smarter today while adapting for tomorrow’s markets, customers, and communities. Our multidisciplinary teams specialise in tech strategy and business innovation, digital solutions and applications, and device and systems engi…",https://www.adzuna.at/details/5739221794?utm_medium=api&utm_source=fec1d0ee,"ner, git"
AI DevOps Engineer (m/w/d) - LLM and Cloud Infrastruktur,Unknown,Austria,"Für ein innovatives, wachstumsorientiertes Unternehmen im Bereich Künstliche Intelligenz und Machine Learning suchen wir einen erfahrenen AI DevOps Engineer , der die Infrastruktur für moderne KI-Systeme aufbaut, skaliert und optimiert. Sie arbeiten eng mit Data Scientists und ML Engineers zusammen und stellen sicher, dass Large Language Models (LLMs) effizient, skalierbar und sicher betrieben werden. Aufbau, Betrieb und Optimierung von Cloud-basierten ML- und LLM-Infrastrukturen Implementierun…",https://www.adzuna.at/details/5694165336?utm_medium=api&utm_source=fec1d0ee,llm
Lead ML Engineer,"Intuition Machines, Inc.",Austria,"Intuition Machines builds enterprise security products with an AI/ML focus. We apply our research to systems that serve hundreds of millions of people, with a team distributed around the world. You are probably familiar with our best-known product, the hCaptcha security suite. Our approach is simple: low overhead, small teams, and rapid iteration. We’re looking for a Lead Machine Learning Engineer with strong software engineering skills and a creative mindset for ML-focused problem-solving. Usi…",https://www.adzuna.at/details/5668939827?utm_medium=api&utm_source=fec1d0ee,
Senior Scientist,Universität Wien,Austria,"Ihr persönlicher Spielraum:Die Stelle erfordert fortgeschrittene akademische Qualifikationen (Doktorat im Bereich der mittelalterlichen Geschichte sowie nach Möglichkeit mehrjährige post-doktorale Forschungserfahrung), exzellente lateinisch-philologische Expertise und einschlägige Erfahrung mit der Erforschung von Handschriftenkulturen des europäischen Mittelalters. Die Senior-Scientist-Stelle ist am Institut für Österreichische Geschichtsforschung angesiedelt und umfasst zunächst die eigenvera…",https://www.adzuna.at/land/ad/5743608362?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=6F44FC5374EE497425986B7C16C22040E0CBCFBA,
Data Science (all genders),smaXtec animal care GmbH,Austria,"We are looking for forward-thinking, impact-driven developers who want to shape the future of IoT, AI, and cloud-based solutions in an agile environment. At smaXtec, we develop a unique health management system for dairy cows, using smart algorithms and AI applications to revolutionize herd health and sustainability. Data Scientist (GRAZ FULL TIME ALL GENDERS) YOUR ROLE * Explore and analyze complex IoT sensor data to uncover meaningful signals and patterns * Develop and refine features from ra…",https://www.adzuna.at/land/ad/5723061689?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=ED2C6AB75281383014161360D6CF381BC3C731DB,
SAP FI/CO Modulspezialist*in,LINZ AG,Austria,"Ihr nächster Click Ein neuer Job bei der LINZ AG als SAP FI/CO Modulspezialistin Big Data, Machine Learning oder IoT sind für uns keine Fremdwörter. Als zentraler IT-Dienstleister für die LINZ AG sind wir die treibende Kraft, damit sich in der Region etwas bewegt. Mit uns gelingt die digitale Energiewende. Wir wissen, was wir können und verfolgen im Team unsere Ziele mit Ausdauer und Begeisterung. Mit unserer Tätigkeit stiften wir Sinn - für Mensch, Natur und Gesellschaft - und tragen mit innov…",https://www.adzuna.at/land/ad/5723047342?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=DEDBFE90A4FD9A6F081EC351E91C4119F5FDFFD0,"rag, ner, git"
Softwareentwicklung SPS- Automation m/w/x,Wintersteiger Holding AG,Austria,Wir verstärken unser Team und suchen Softwareentwicklung SPS- Automation m/w/x Vollzeit Ried im Innkreis Sie haben Freude in der Programmierung von SPS- Steuerungen und innovativen Softwarelösungen? Sie schätzen die Möglichkeit eigene Ideen einzubringen und diese mit Gestaltungsspielraum eigenverantwortlich umzusetzen? Dann Willkommen im Softwaretechnik-Team von WINTERSTEIGER! Im Bereich Softwareentwicklung SPS-Automation * sind Sie für die Entwicklung von Softwarelösungen für unsere innovative…,https://www.adzuna.at/land/ad/5723051233?se=-pbXJGNi8RGI27gKLue9KA&utm_medium=api&utm_source=fec1d0ee&v=2E9406132A1B44BB363507C4FFAD5B72A2999168,
